fsync,synchronousCommit,fullPageWrites,trackActivities,trackCounts,sharedBuffers,tempBuffers,workMem,Performance
0,1,1,1,1,128,8,4096,46800.80008147983
1,1,0,1,1,128,8,1024,129166.19997521983
1,1,0,0,0,256,32,4096,132785.6000274612
1,0,1,0,0,64,8,4096,136884.00002404733
1,1,0,0,1,256,8,1024,133251.60001769007
1,0,0,0,0,64,8,1024,132700.00000162856
1,1,1,1,1,64,32,4096,131409.80011867566
0,1,1,1,0,256,32,1024,46477.800015951034
1,1,1,1,1,256,32,256,130465.99987600185
0,1,1,1,1,128,32,1024,46752.20001151143
0,0,0,1,0,64,32,4096,46264.19996285281
0,0,1,1,0,256,2,4096,46625.000039400205
0,1,1,1,0,64,8,4096,46771.00005327887
0,1,1,0,0,256,2,1024,46191.39997388353
0,1,1,0,1,64,8,256,46218.99996940939
1,1,0,1,1,64,2,4096,134920.39999362576
0,0,0,1,1,256,2,4096,46327.39993742681
1,1,0,1,0,64,8,1024,132315.2001044374
0,0,1,0,1,256,2,256,46342.00009278574
0,0,1,1,1,256,2,256,46651.399944838246
0,1,0,1,0,256,2,256,46594.39993716759
1,1,0,0,0,64,32,4096,132758.99997290233
0,1,0,1,0,64,2,1024,46447.59995845987
1,0,1,0,0,64,2,1024,135076.19999045398
0,0,0,1,1,64,8,1024,47331.00002240483
0,1,0,0,1,64,8,4096,46203.19994449593
1,0,1,0,1,128,32,1024,140847.19994948045
0,1,1,0,0,256,32,4096,46191.20001356121
1,1,0,0,0,128,32,4096,134334.79997739004
0,1,1,0,0,128,8,256,46214.600034558855
1,0,1,0,0,64,32,256,137126.9999773175
0,1,1,1,0,128,8,256,46558.000010988784
1,1,0,1,1,256,2,1024,130103.39996163062
1,0,1,0,1,128,32,4096,138524.60003917917
0,0,1,1,1,128,2,1024,46692.59994615871
1,0,1,1,0,256,2,1024,136959.40005186337
0,0,1,0,0,128,2,4096,46307.19995313015
1,1,0,1,1,64,32,4096,130741.80004156612
1,0,0,1,0,64,8,256,133164.39997051985
1,0,0,1,1,256,32,256,135542.60000706677
0,1,1,0,0,128,32,4096,46145.80004899632
1,1,0,1,0,64,32,256,133072.3998626469
0,1,1,0,0,64,2,256,46338.60006311081
0,1,1,0,1,128,2,1024,46282.60010953806
0,0,0,1,1,64,32,4096,46546.80003032278
1,1,0,0,1,256,32,4096,134608.59998420082
1,1,0,0,1,128,8,1024,133644.39999100062
1,1,0,0,1,64,2,256,134110.600073355
1,0,1,0,1,256,32,1024,134690.40001605076
1,1,1,1,0,64,32,1024,127659.19999371831
1,1,1,0,1,64,32,1024,130145.19999057718
1,1,0,1,1,256,32,256,132261.1999955481
1,1,1,1,0,128,2,256,128216.59997910901
1,1,1,0,1,256,8,1024,128079.80001983179
0,1,1,0,1,256,8,1024,46398.39998651905
1,0,0,0,1,64,2,256,133882.40003359714
0,1,0,1,1,128,2,4096,46322.400052824385
0,0,1,0,0,128,8,256,46140.000024261804
0,1,0,0,1,64,8,256,46237.59994583033
1,1,1,1,0,256,2,4096,127337.60000449997
1,1,0,1,0,128,32,4096,130274.60007220569
1,1,1,1,1,64,32,4096,131409.80007493953
1,1,0,1,0,256,2,256,135861.99995415247
0,1,1,1,1,128,32,1024,46752.20002910417
0,0,1,0,0,128,32,1024,46138.800044574375
1,0,0,0,0,128,32,4096,132885.99994396922
0,1,1,0,1,128,2,256,46285.59996805346
0,0,1,0,1,128,8,256,46271.00003835437
0,0,0,0,0,128,32,256,46254.99995415256
1,1,0,1,1,128,32,4096,131404.99999614476
1,1,1,0,0,128,32,1024,132014.5999806771
1,1,1,1,0,256,2,1024,129660.19996748817
0,1,0,1,1,64,2,256,46400.59993788947
0,0,1,0,0,64,2,1024,46198.9999442012
0,0,0,0,0,64,2,1024,47571.00001966656
0,0,0,0,0,128,8,1024,46207.99998390227
0,1,1,1,1,128,32,256,46742.00000850926
1,0,0,1,0,256,32,4096,133534.1999680132
0,1,1,1,0,64,8,4096,46770.999980563145
1,1,1,0,1,256,8,4096,131231.20002840972
1,0,0,1,0,64,32,256,130240.79991960766
1,1,0,1,0,128,2,256,135754.4000649878
1,1,1,1,0,64,2,1024,125822.19996393433
1,0,0,0,0,64,32,4096,131737.40000733084
1,0,0,1,1,256,32,1024,135168.3999605473
1,0,1,0,0,256,8,4096,137294.7999883811
0,1,1,1,0,128,32,256,46666.79985924571
0,0,0,0,0,256,8,256,46305.59998314457
1,1,0,1,0,64,2,1024,139402.39999295725
0,0,0,1,0,128,2,4096,47528.79992782726
1,1,0,0,0,256,8,256,133404.80009732515
0,1,1,1,1,128,2,4096,47013.999933958934
0,0,0,1,0,256,32,1024,46419.00012011628
1,1,0,0,1,256,32,256,134256.80002101968
0,0,0,0,1,64,2,256,46336.9999914141
1,0,0,1,1,64,32,1024,131342.79998066966
1,0,1,1,0,128,32,256,140915.400094474
0,0,0,1,0,128,2,256,46486.80012961472
0,0,0,0,0,128,8,1024,46207.99995541191
1,0,1,0,0,256,8,256,133510.4000252183
