new_column4,new_column3,new_column2,new_column,sendfile,basicAuth,maxClients,compressionLevel,Performance
0,2,2,2,0,0,4096,0,337.4748
1,1,1,0,0,0,512,9,337.4748
1,0,1,2,0,0,1024,1,337.4748
1,1,1,0,1,1,2048,5,337.4748
0,0,1,0,1,0,2048,0,166.6926
1,2,2,2,0,1,1024,0,337.4748
1,0,1,1,1,0,512,1,337.4748
0,0,2,2,1,0,1024,9,337.4748
0,0,2,0,0,0,4096,0,163.7512
0,2,1,0,0,0,1024,9,166.4434
0,2,2,2,1,1,4096,0,337.4748
1,1,1,1,0,1,1024,5,337.4748
0,2,1,0,0,0,1024,5,167.4082
1,2,1,0,1,0,2048,5,167.1708
0,2,2,2,0,1,512,0,337.4748
0,0,2,0,1,1,1024,1,337.4748
1,1,2,1,1,0,2048,9,337.4748
0,2,2,2,1,1,1024,9,164.6752
1,0,1,0,1,0,512,5,337.4748
1,1,2,0,1,1,1024,9,337.4748
1,1,2,0,1,1,4096,1,337.4748
0,1,1,2,0,0,512,1,337.4748
0,0,2,0,0,1,4096,9,337.4748
1,1,1,0,0,1,512,1,337.4748
1,1,2,2,0,1,512,1,337.4748
1,1,1,1,0,1,512,5,337.4748
1,1,1,1,0,1,1024,1,337.4748
1,0,1,1,0,1,4096,1,337.4748
1,2,2,2,0,0,2048,1,167.0078
1,1,1,2,0,1,512,5,337.4748
0,2,2,2,0,1,4096,1,164.1336
0,2,1,1,1,0,2048,1,337.4748
1,2,2,1,1,1,4096,0,337.4748
1,1,2,2,0,0,512,5,337.4748
1,1,1,2,1,0,2048,5,337.4748
1,0,1,0,1,0,1024,0,168.1436
0,2,1,1,1,0,1024,0,337.4748
1,1,2,0,1,0,1024,0,31.9844
0,1,2,2,0,0,4096,5,337.4748
0,2,2,1,0,0,512,9,164.7606
0,2,1,0,1,1,512,5,167.0458
1,1,2,1,0,0,1024,5,337.4748
1,0,2,1,0,1,2048,0,168.3294
1,2,2,1,0,1,2048,1,166.4322
0,0,2,2,0,0,2048,1,337.4748
0,2,2,0,0,1,4096,0,337.4748
0,2,1,2,0,0,1024,9,337.4748
0,0,1,0,0,1,2048,9,337.4748
0,2,1,0,0,1,2048,9,166.8372
0,1,2,0,1,1,2048,5,337.4748
0,2,2,1,0,1,2048,9,165.4474
0,0,1,2,1,1,1024,1,337.4748
0,2,1,0,0,0,1024,0,337.4748
0,2,1,0,0,1,1024,9,165.5612
0,2,2,2,1,0,512,5,163.9568
1,0,1,2,0,1,512,0,337.4748
0,1,2,2,0,1,1024,5,337.4748
1,0,1,0,0,1,2048,9,337.4748
0,1,1,2,1,0,1024,1,337.4748
1,2,1,1,0,1,4096,9,337.4748
1,2,1,0,1,0,2048,9,166.901
1,0,2,1,1,1,4096,5,337.4748
1,1,1,0,1,1,2048,0,32.7488
0,1,1,2,1,1,2048,5,337.4748
1,2,2,1,1,0,512,9,165.0922
0,0,1,2,1,1,4096,5,337.4748
0,2,1,0,0,0,2048,9,167.909
0,1,1,2,1,0,512,5,337.4748
0,0,1,2,1,1,512,0,337.4748
0,0,2,2,1,1,2048,9,337.4748
0,1,1,0,0,1,2048,1,337.4748
0,2,2,1,1,1,1024,9,165.3228
0,1,2,1,1,0,1024,5,337.4748
0,0,1,2,1,1,512,1,337.4748
0,0,1,2,0,1,512,0,337.4748
0,0,1,2,0,1,2048,1,337.4748
1,0,2,0,0,1,2048,5,337.4748
1,0,2,2,1,0,2048,1,337.4748
1,0,2,1,0,1,4096,5,337.4748
0,1,2,1,1,1,4096,5,337.4748
0,0,1,2,1,0,1024,1,337.4748
1,2,1,2,1,0,4096,0,337.4748
0,1,1,0,1,0,4096,9,337.4748
0,1,2,2,0,1,2048,1,337.4748
0,1,2,1,0,1,2048,9,337.4748
1,1,2,2,0,0,512,9,337.4748
1,1,2,2,1,1,2048,1,337.4748
0,1,2,0,1,0,4096,5,337.4748
0,2,2,2,0,1,1024,5,164.4504
1,2,1,0,0,0,512,0,337.4748
0,1,1,0,1,1,1024,5,337.4748
0,0,1,2,1,0,4096,0,337.4748
0,1,1,0,0,0,2048,5,337.4748
1,2,1,1,1,0,2048,0,337.4748
1,2,1,0,0,1,512,1,167.9768
0,1,1,0,0,0,4096,5,337.4748
0,2,1,0,0,0,1024,5,167.4082
0,1,2,2,1,0,4096,5,337.4748
1,2,2,1,1,0,512,5,165.4086
1,2,2,1,0,0,4096,1,165.3456
