Iteration,new_column4,new_column3,new_column2,new_column,sendfile,basicAuth,maxClients,compressionLevel,Performance
0,0,2,2,0,1,1,4096,9,164.9448
1,1,2,2,1,1,0,512,9,165.0922
2,1,0,1,2,1,0,2048,5,337.4748
3,0,1,2,2,0,0,512,1,337.4748
4,1,2,2,0,0,0,1024,0,337.4748
5,1,2,1,2,1,0,4096,5,337.4748
6,0,2,1,2,1,1,512,0,337.4748
7,0,0,2,1,1,1,512,1,337.4748
8,1,2,2,2,1,1,4096,1,164.7978
9,1,0,2,2,1,1,4096,1,337.4748
10,0,2,1,2,0,1,2048,0,337.4748
11,1,2,2,2,1,0,2048,0,337.4748
12,0,0,2,0,0,0,4096,5,337.4748
13,0,1,2,2,1,1,512,5,337.4748
14,1,1,2,1,0,1,2048,5,337.4748
15,1,1,1,2,1,0,4096,1,337.4748
16,1,1,1,0,1,0,512,5,337.4748
17,0,2,2,0,1,0,2048,9,162.999
18,0,2,2,0,1,1,4096,1,164.8436
19,0,1,1,0,1,0,512,5,337.4748
20,0,2,1,2,1,1,512,5,337.4748
21,1,1,2,0,1,1,4096,5,337.4748
22,1,1,1,1,0,0,1024,5,337.4748
23,1,1,2,0,0,1,2048,0,32.0286
24,1,2,2,1,1,0,4096,5,165.3856
25,0,2,2,1,0,1,2048,9,165.4474
26,1,1,1,1,0,0,4096,0,337.4748
27,0,1,2,2,0,1,2048,5,337.4748
28,0,0,1,1,0,0,512,5,337.4748
29,0,0,1,1,1,0,1024,5,337.4748
30,0,1,2,0,0,1,2048,9,337.4748
31,1,2,2,0,0,1,2048,9,164.0904
32,0,1,2,0,0,0,2048,9,337.4748
33,1,2,2,0,0,1,2048,9,164.0904
34,1,1,2,0,0,0,2048,0,31.8866
35,1,1,2,0,0,0,1024,0,31.2326
36,1,1,2,0,0,0,1024,0,31.2326
37,1,1,2,0,0,0,1024,0,31.2326
38,1,1,2,0,0,0,1024,0,31.2326
39,1,1,2,0,0,0,1024,0,31.2326
40,1,0,2,0,0,0,1024,0,165.4556
41,1,1,2,0,0,0,1024,0,31.2326
42,1,1,2,0,0,0,1024,0,31.2326
43,1,0,2,0,0,0,1024,0,165.4556
44,1,1,2,0,0,0,1024,0,31.2326
45,1,1,2,0,0,0,1024,1,337.4748
46,1,0,2,0,0,0,1024,0,165.4556
47,1,1,2,2,0,0,1024,0,31.7042
48,1,1,2,0,0,0,1024,1,337.4748
49,1,1,1,0,0,0,1024,0,32.4778
50,1,0,2,2,0,0,1024,0,167.1676
51,1,1,2,0,0,0,1024,1,337.4748
52,1,1,1,1,0,0,512,0,337.4748
53,1,1,2,0,0,0,1024,0,31.2326
54,1,0,2,2,0,0,1024,0,167.1676
55,1,1,1,0,1,0,4096,1,337.4748
56,1,1,2,1,0,0,512,9,337.4748
57,1,2,2,0,1,0,1024,0,337.4748
58,1,1,2,2,0,0,4096,0,31.8124
59,0,1,1,1,0,1,512,1,337.4748
60,1,2,2,0,1,0,1024,0,337.4748
61,1,0,2,0,0,0,1024,9,337.4748
62,0,1,1,2,0,1,4096,0,337.4748
63,1,1,2,1,1,0,512,0,31.6506
64,0,2,2,0,0,1,1024,1,165.314
65,1,1,1,0,0,0,1024,9,337.4748
66,1,0,2,0,1,0,4096,5,337.4748
67,0,1,2,2,0,1,512,0,31.6628
68,1,2,2,1,0,0,1024,0,337.4748
69,1,1,1,0,1,0,2048,9,337.4748
70,0,1,2,0,0,1,1024,5,337.4748
71,1,0,2,0,0,0,4096,0,164.1756
72,1,1,2,2,0,0,1024,1,337.4748
73,1,2,1,1,1,0,2048,0,337.4748
74,0,1,2,0,0,1,512,5,337.4748
75,1,1,2,0,0,0,1024,0,31.2326
76,1,0,2,0,0,0,1024,9,337.4748
77,1,2,2,2,0,0,4096,0,337.4748
78,0,1,1,0,1,1,2048,1,337.4748
79,1,1,2,1,0,0,1024,0,31.9878
80,1,1,2,0,0,0,1024,5,337.4748
81,1,0,2,0,0,0,512,0,164.1818
82,0,1,1,0,1,1,1024,9,337.4748
83,1,2,2,2,0,0,2048,0,337.4748
84,1,1,2,1,0,0,1024,0,31.9878
85,1,1,2,0,0,0,4096,1,337.4748
86,1,0,1,0,1,1,1024,5,337.4748
87,0,1,2,0,0,0,512,0,31.3186
88,1,2,2,2,0,0,1024,9,164.541
89,1,1,2,1,0,0,2048,0,32.2072
90,1,1,1,0,0,0,1024,0,32.4778
91,0,0,2,0,1,1,4096,1,337.4748
92,1,1,2,0,0,0,1024,5,337.4748
93,1,2,2,2,0,0,512,0,337.4748
94,1,1,1,1,0,0,1024,9,337.4748
95,0,1,2,0,1,1,2048,0,32.3634
96,1,0,2,0,0,0,1024,0,165.4556
97,1,1,2,0,0,0,4096,1,337.4748
98,1,2,1,2,0,0,1024,5,337.4748
99,0,1,2,1,1,1,512,0,31.368
100,1,1,2,0,0,0,1024,9,337.4748
